Line,# Letter, Cz/theta, Cz/alpha, Cz/betaL, Cz/betaH, Cz/gamma, Fz/theta, Fz/alpha, Fz/betaL, Fz/betaH, Fz/gamma, Fp1/theta, Fp1/alpha, Fp1/betaL, Fp1/betaH, Fp1/gamma, F7/theta, F7/alpha, F7/betaL, F7/betaH, F7/gamma, F3/theta, F3/alpha, F3/betaL, F3/betaH, F3/gamma, FC1/theta, FC1/alpha, FC1/betaL, FC1/betaH, FC1/gamma, C3/theta, C3/alpha, C3/betaL, C3/betaH, C3/gamma, FC5/theta, FC5/alpha, FC5/betaL, FC5/betaH, FC5/gamma, FT9/theta, FT9/alpha, FT9/betaL, FT9/betaH, FT9/gamma, T7/theta, T7/alpha, T7/betaL, T7/betaH, T7/gamma, TP9/theta, TP9/alpha, TP9/betaL, TP9/betaH, TP9/gamma, CP5/theta, CP5/alpha, CP5/betaL, CP5/betaH, CP5/gamma, CP1/theta, CP1/alpha, CP1/betaL, CP1/betaH, CP1/gamma, P3/theta, P3/alpha, P3/betaL, P3/betaH, P3/gamma, P7/theta, P7/alpha, P7/betaL, P7/betaH, P7/gamma, O1/theta, O1/alpha, O1/betaL, O1/betaH, O1/gamma, Pz/theta, Pz/alpha, Pz/betaL, Pz/betaH, Pz/gamma, Oz/theta, Oz/alpha, Oz/betaL, Oz/betaH, Oz/gamma, O2/theta, O2/alpha, O2/betaL, O2/betaH, O2/gamma, P8/theta, P8/alpha, P8/betaL, P8/betaH, P8/gamma, P4/theta, P4/alpha, P4/betaL, P4/betaH, P4/gamma, CP2/theta, CP2/alpha, CP2/betaL, CP2/betaH, CP2/gamma, CP6/theta, CP6/alpha, CP6/betaL, CP6/betaH, CP6/gamma, TP10/theta, TP10/alpha, TP10/betaL, TP10/betaH, TP10/gamma, T8/theta, T8/alpha, T8/betaL, T8/betaH, T8/gamma, FT10/theta, FT10/alpha, FT10/betaL, FT10/betaH, FT10/gamma, FC6/theta, FC6/alpha, FC6/betaL, FC6/betaH, FC6/gamma, C4/theta, C4/alpha, C4/betaL, C4/betaH, C4/gamma, FC2/theta, FC2/alpha, FC2/betaL, FC2/betaH, FC2/gamma, F4/theta, F4/alpha, F4/betaL, F4/betaH, F4/gamma, F8/theta, F8/alpha, F8/betaL, F8/betaH, F8/gamma, Fp2/theta, Fp2/alpha, Fp2/betaL, Fp2/betaH, Fp2/gamma
0,0,0.946,0.454,0.81,1.152,0.328,3.354,0.774,1.313,2.665,7.46,2.238,0.877,1.034,2.784,7.541,3.855,3.11,2.006,3.204,6.633,3.6,3.208,2.384,6.226,2.465,0.104,0.04,0.014,0.004,0.003,3.949,3.715,2.327,6.822,3.791,1.368,9.038,3.386,2.829,0.356,5.532,5.241,2.057,2.771,7.256,5.655,5.454,2.169,2.665,7.492,3.251,18.875,0.9970000000000001,1.57,0.335,6.955,8.099,1.345,3.521,6.486,1.64,1.365,0.316,0.114,0.046,1.44,5.406,0.737,0.271,0.08599999999999998,2.529,31.877,2.64,5.208,2.163,4.918,27.441,1.686,2.414,0.44,1.192,2.479,0.526,0.256,0.029,4.402,22.272,2.62,4.296,0.387,5.754,22.199,2.243,5.442,0.959,6.615,8.875,3.454,3.949,6.173,1.385,5.325,0.58,0.258,0.094,2.155,3.066,1.215,0.666,0.099,4.874,2.446,3.183,2.666,7.5,3.874,27.11,2.409,4.264,0.969,4.763,8.878,1.747,3.962,5.941,3.167,4.669,1.695,3.552,6.313,3.183,2.306,0.97,3.017,6.639,0.799,1.328,0.522,0.858,0.102,0.936,0.211,0.455,0.103,0.054,1.107,1.872,3.543,5.312,1.713,2.021,2.161,2.564,4.582,5.185,2.267,0.17,1.449,2.684,7.827
1,0,0.695,0.408,0.778,1.07,0.331,3.612,0.686,1.798,2.47,7.472,1.635,0.967,0.8369999999999999,2.427,7.594999999999998,2.584,3.189,1.632,2.931,6.752,2.387,4.485,2.836,6.071,2.451,0.111,0.069,0.021,0.005,0.005,4.138,3.601,2.285,6.644,3.847,1.421,7.513,2.823,2.257,0.286,4.673,4.599,1.628,2.406,7.349,4.875,3.996,1.895,2.455,7.623999999999999,2.904,14.578,1.099,1.15,0.372,5.697,7.09,1.218,3.277,6.606,1.517,1.644,0.289,0.126,0.08699999999999998,1.774,5.516,0.406,0.302,0.096,2.795,25.166,2.29,3.908,2.185,5.03,29.763,1.562,2.056,0.489,1.395,3.409,0.41,0.395,0.038,3.857,23.169,2.469,3.872,0.344,5.704,22.749,2.263,5.023,0.921,7.155,9.548,3.824,3.919,5.852,1.738,5.459,0.651,0.268,0.092,2.761,3.591,1.123,0.701,0.105,4.212,2.019,3.012,2.436,7.458999999999999,3.968,21.957,2.74,3.858,0.8329999999999999,4.186,8.006,1.715,3.826,6.014,2.639,4.473,1.421,3.598,6.279,2.912,2.141,1.063,3.203,6.539,0.799,0.806,0.488,0.581,0.072,0.775,0.149,0.416,0.108,0.068,0.985,1.785,3.611,5.16,1.609,2.018,1.598,2.572,4.422,5.087,2.062,0.314,1.606,2.401,7.633
2,0,0.515,0.425,0.719,1.086,0.329,2.583,0.481,1.836,2.451,7.543,2.096,1.144,0.794,2.033,7.666,2.829,3.1,1.157,2.669,6.82,1.52,4.29,2.452,6.151,2.504,0.113,0.083,0.026,0.005,0.007,2.845,2.183,2.267,5.804,4.15,1.789,6.286,2.397,2.033,0.286,4.201,3.67,1.586,2.016,7.432,3.215,2.706,1.71,2.162,7.716999999999999,2.567,10.16,1.442,1.209,0.382,4.635,4.904,1.174,3.107,6.684,1.239,1.735,0.307,0.15,0.127,1.635,5.449,0.333,0.307,0.085,3.822,20.956,2.163,3.808,2.046,4.317,32.936,1.798,2.018,0.467,1.594,4.378,0.413,0.443,0.049,3.239,25.565,2.415,3.072,0.306,4.341,26.277,2.634,3.905,0.887,4.79,10.971,3.502,3.436,5.696,2.247,6.792,0.872,0.43,0.08899999999999998,2.846,3.987,1.245,0.623,0.108,3.155,1.866,2.465,2.17,7.525,3.334,15.842,2.876,3.214,0.777,4.538,6.232,1.869,3.9,5.958,3.894,4.231,1.612,3.715,6.169,3.287,2.351,1.578,3.527,6.3,0.569,0.476,0.357,0.288,0.043,0.46,0.114,0.334,0.099,0.068,0.584,2.085,3.229,5.508,1.534,2.115,1.629,2.245,4.22,4.955,2.0,0.578,1.448,2.226,7.464
3,0,0.502,0.405,0.614,1.111,0.326,1.719,0.386,1.664,2.613,7.559999999999999,3.408,1.221,0.799,1.869,7.716,4.167,3.155,0.8369999999999999,2.584,6.913,1.645,3.075,1.72,6.301,2.58,0.099,0.07499999999999998,0.026,0.005,0.007,1.397,1.061,2.008,5.006,4.237,1.945,5.633,2.208,2.424,0.35,3.536,3.261,1.561,2.022,7.409,2.278,2.068,1.664,1.923,7.649,1.976,8.531,1.814,1.572,0.358,4.116,3.621,1.126,3.018,6.804,0.931,1.368,0.278,0.159,0.123,1.156,5.424,0.393,0.31,0.077,4.666,22.095,2.594,4.518,1.896,3.534,36.143,2.331,2.459,0.418,1.718,4.686,0.502,0.335,0.052,2.479,29.85,2.477,2.438,0.295,2.453,32.383,2.908,2.98,0.869,2.387,13.252,3.445,2.812,5.695,2.631,8.351,1.172,0.651,0.08899999999999998,2.429,3.557,1.546,0.513,0.103,2.49,2.576,2.254,2.162,7.535999999999999,2.371,15.167,2.566,2.84,0.811,5.184,5.197,1.583,3.832,5.974,4.64,4.005,1.625,3.725,6.152,3.603,2.544,1.763,3.681,6.218,0.373,0.335,0.242,0.183,0.053,0.193,0.081,0.194,0.064,0.044,0.448,2.648,2.925,6.062,1.552,2.26,2.33,2.155,4.207,4.891,2.655,0.931,1.314,2.112,7.458999999999999
4,0,0.61,0.401,0.509,1.086,0.359,1.745,0.703,1.703,2.705,7.479,4.193,0.956,0.715,1.938,7.817,4.757,2.791,0.583,2.767,7.045,2.043,1.958,1.698,6.286,2.661,0.081,0.067,0.025,0.006,0.008,1.003,0.806,1.696,4.723,4.055,1.915,4.472,2.197,2.842,0.423,2.523,2.757,1.117,2.334,7.363,1.917,1.559,1.499,1.876,7.599,1.803,9.183,2.177,2.074,0.365,3.6,3.399,0.976,3.173,6.892,0.753,0.933,0.193,0.134,0.081,0.704,5.448,0.417,0.319,0.079,4.577,23.587,3.204,5.415,2.023,3.462,37.662,2.743,3.046,0.437,1.612,4.341,0.487,0.191,0.054,1.733,33.646,2.586,2.192,0.315,1.197,36.905,2.782,2.628,0.8349999999999999,2.564,15.613,3.759,2.269,5.673,2.353,9.387,1.203,0.69,0.08799999999999998,1.8,3.013,1.516,0.432,0.096,2.477,3.446,2.171,2.282,7.450999999999999,2.075,17.984,2.085,2.887,0.857,4.886,5.444,0.9890000000000002,3.602,6.201,4.018,3.92,1.383,3.529,6.313,3.342,2.639,1.48,3.577,6.385,0.411,0.389,0.317,0.266,0.105,0.143,0.068,0.119,0.039,0.023,0.86,2.579,3.062,6.279,1.58,2.515,3.254,2.775,4.44,4.954,3.407,1.377,1.615,2.059,7.519999999999999
5,0,0.643,0.486,0.467,1.036,0.414,1.867,1.055,1.567,2.593,7.456,3.68,0.534,0.647,2.033,7.942999999999999,3.921,1.873,0.405,3.06,7.087,2.142,1.201,2.187,6.015,2.794,0.082,0.067,0.028,0.011,0.008999999999999998,1.155,0.877,1.776,4.704,4.02,1.861,2.787,2.273,2.867,0.502,2.171,1.891,0.651,2.474,7.418,2.229,0.981,1.266,1.907,7.671999999999999,2.26,8.814,2.77,2.508,0.393,3.035,2.774,0.979,3.352,6.888,0.8309999999999998,0.742,0.14,0.113,0.049,0.515,5.444,0.352,0.327,0.07399999999999998,4.572,21.123,3.574,6.319,2.268,4.576,37.362,3.059,3.458,0.483,1.598,3.616,0.387,0.13,0.056,1.749,33.761,2.592,1.969,0.346,1.5,37.207,2.564,2.522,0.779,4.36,17.235,3.564,2.017,5.55,1.645,10.072,1.085,0.515,0.082,1.215,2.979,1.028,0.417,0.101,3.709,3.821,2.153,2.243,7.423,2.472,18.18,1.8,3.054,0.867,3.694,5.313,0.716,3.281,6.538,3.069,3.389,1.17,3.135,6.644,2.53,2.509,1.173,3.131,6.659,0.653,0.513,0.569,0.388,0.143,0.255,0.08799999999999998,0.154,0.045,0.02,1.274,1.79,3.571,5.978,1.555,2.493,3.533,3.525,4.595,5.156,3.496,1.656,1.837,2.052,7.647
6,0,0.525,0.608,0.441,1.049,0.427,1.808,1.158,1.203,2.467,7.488,2.748,0.314,0.628,2.067,8.032999999999998,2.691,1.238,0.528,3.213,7.095,1.94,0.885,2.267,5.677,2.914,0.08599999999999998,0.058,0.032,0.02,0.01,1.334,1.309,2.247,4.581,4.202,1.987,1.912,2.714,2.656,0.582,2.207,1.418,0.6,2.262,7.671999999999999,3.205,0.8139999999999998,1.227,1.9,7.801999999999999,2.748,7.58,3.403,2.646,0.354,2.368,1.892,1.101,3.123,6.905,1.04,0.931,0.167,0.12,0.048,0.547,5.198,0.3,0.325,0.066,6.244,17.614,3.635,6.879,2.27,5.805,37.253,3.756,3.615,0.433,1.791,2.741,0.391,0.118,0.053,2.478,30.909,2.345,1.931,0.375,2.794,34.758,2.66,2.946,0.7239999999999999,5.256,17.113,3.179,2.366,5.465,1.143,10.118,1.221,0.365,0.083,0.792,2.934,0.597,0.457,0.124,5.003,3.599,2.613,2.085,7.498999999999999,2.67,15.37,1.835,3.371,0.8209999999999998,2.536,4.16,0.734,2.995,6.76,3.062,2.159,0.917,2.923,6.924,1.935,2.021,0.945,2.601,6.822,0.8319999999999999,0.543,0.8319999999999999,0.425,0.135,0.367,0.115,0.263,0.082,0.032,1.329,1.098,3.729,5.69,1.591,2.163,2.876,3.498,4.698,5.356,3.518,1.666,1.586,2.252,7.743
7,0,0.5,0.761,0.353,1.172,0.396,1.595,1.29,1.291,2.449,7.487,2.392,0.443,0.775,2.116,8.067,2.313,1.189,0.8489999999999999,3.101,7.229,1.896,1.058,1.87,5.502,2.895,0.077,0.04,0.033,0.025,0.01,1.519,1.839,2.657,4.51,4.288,2.32,2.011,3.766,2.623,0.603,2.133,1.413,0.79,2.052,7.969,3.676,0.913,1.351,1.989,7.91,2.545,7.605,3.601,2.597,0.245,1.937,1.748,1.225,2.712,6.946,1.128,1.679,0.22,0.119,0.059,0.667,4.81,0.291,0.332,0.072,7.806,17.112,3.303,6.687,2.12,5.563,39.15,3.978,3.642,0.312,1.785,2.735,0.43,0.122,0.046,2.903,30.061,1.774,2.636,0.455,3.536,34.475,2.62,4.073,0.731,4.213,16.48,3.203,3.071,5.52,0.9960000000000001,10.241,1.394,0.383,0.098,0.533,2.896,0.703,0.488,0.162,4.228,2.984,3.057,2.046,7.582,2.144,14.012,2.138,3.838,0.773,2.371,3.91,0.895,3.121,6.655,3.754,1.348,0.79,3.152,6.866,2.243,1.942,0.902,2.433,6.761,0.755,0.608,0.911,0.37,0.106,0.392,0.156,0.436,0.144,0.055,1.229,0.955,3.054,5.963,1.719,1.936,2.305,2.868,5.055,5.368,3.593,1.612,1.417,2.609,7.671999999999999
8,0,0.697,0.977,0.463,1.393,0.388,1.271,1.379,1.673,2.479,7.501,2.082,0.666,1.069,2.292,7.961,2.522,1.241,1.234,2.882,7.317999999999999,2.173,1.353,1.764,5.596,2.718,0.068,0.026,0.027,0.021,0.007,1.78,1.897,2.768,4.722,4.204,2.297,2.221,4.407,2.74,0.52,2.115,1.331,0.946,2.209,7.956,3.527,0.868,1.588,2.241,7.876999999999998,1.895,8.766,3.425,2.561,0.162,2.169,2.327,1.507,2.564,6.955,1.02,2.383,0.247,0.095,0.058,0.911,4.616,0.318,0.362,0.084,6.629,19.595,2.879,6.045,2.121,3.883,42.897,3.459,3.634,0.24,1.421,4.117,0.424,0.16,0.05,2.89,32.942,1.504,3.538,0.58,3.191,37.554,2.536,4.776,0.8439999999999999,3.69,17.711,3.407,3.443,5.576,0.941,11.564,1.171,0.458,0.115,0.549,3.501,1.283,0.473,0.201,2.683,2.571,2.886,2.129,7.586999999999998,1.589,16.564,2.729,4.037,0.812,2.66,6.035,1.285,3.628,6.358,3.69,1.96,1.115,3.571,6.531,2.833,3.285,1.285,2.634,6.63,0.599,0.891,0.8469999999999999,0.317,0.101,0.319,0.195,0.539,0.178,0.07399999999999998,0.9970000000000001,1.169,2.619,6.413,1.805,1.786,2.904,2.364,5.436,5.252,2.89,1.472,1.447,2.753,7.596
9,0,0.746,1.083,0.909,1.519,0.428,1.547,1.107,1.69,2.465,7.521,1.636,0.713,1.115,2.519,7.774,2.468,1.293,1.528,2.764,7.142,2.188,1.616,2.452,5.826,2.485,0.07499999999999998,0.023,0.018,0.013,0.004,2.14,1.521,2.843,5.122,4.061,1.758,2.534,3.81,2.81,0.389,1.995,1.339,0.9930000000000001,2.625,7.607,3.542,1.022,1.868,2.517,7.686,1.691,9.403,3.167,2.489,0.17,2.438,2.733,1.789,2.664,6.991,0.802,2.234,0.261,0.078,0.046,1.139,4.375,0.319,0.384,0.081,3.582,21.99,3.025,5.642,2.269,2.62,44.852,2.881,3.74,0.251,1.063,6.245,0.4,0.219,0.079,2.92,37.186,1.452,3.592,0.627,2.638,42.379,2.379,4.295,0.94,4.788,20.623,3.474,3.361,5.457,0.885,14.293,0.664,0.48,0.14,0.765,4.74,1.776,0.47,0.219,2.22,3.22,2.647,2.218,7.48,1.594,21.629,2.986,3.866,0.888,2.939,8.586999999999998,1.689,3.945,6.263,3.075,3.377,1.557,3.828,6.24,3.106,4.753,1.691,2.889,6.601,0.581,1.279,0.793,0.352,0.125,0.26,0.187,0.46,0.14,0.066,0.707,1.4,3.201,6.384,1.815,1.76,3.89,2.106,5.327,5.198,1.831,1.078,1.198,2.554,7.623
